Name,degree centrality,closeness centrality,betweenness centrality
FAM13C,0.00045396767750136187,0.0,0.0
GREB1,0.0003631741420010895,0.0,0.0
GRM3,0.000726348284002179,0.0,0.0
FLRT3,9.079353550027238e-05,0.0,0.0
FAM174B,0.00018158707100054475,0.0,0.0
CSPG4P1Y,0.00045396767750136187,0.0,0.0
COX6C,9.079353550027238e-05,0.0,0.0
CILP,9.079353550027238e-05,0.0,0.0
CDHR5,0.0003631741420010895,0.0,0.0
ASPA,0.0006355547485019066,0.0,0.0
ATP5H,0.0009987288905029962,0.0,0.0
ZMAT4,0.0008171418195024514,0.0,0.0
TNP2,9.079353550027238e-05,0.0,0.0
TNNT3,0.00027238060650081714,0.0,0.0
TLX3,0.000726348284002179,0.2709252230710964,1.2668600305740524e-06
SRGN,0.00018158707100054475,0.0,0.0
SLC9A7,0.00018158707100054475,0.0,0.0
SLC38A7,0.00045396767750136187,0.0,0.0
A1CF,0.00045396767750136187,0.0,0.0
LYST,0.0003631741420010895,0.0,0.0
ESRRB,0.00045396767750136187,0.2883393558051746,1.578740738004939e-08
TDP2,0.00045396767750136187,0.0,0.0
HTATIP2,0.0010895224260032686,0.3109631689414633,8.147916213668988e-07
CDK10,0.0003631741420010895,0.0,0.0
ACTL6A,0.0009079353550027237,0.0,0.0
CPSF6,0.0003631741420010895,0.0,0.0
C11orf16,9.079353550027238e-05,0.0,0.0
CCDC91,0.0003631741420010895,0.0,0.0
CD177,9.079353550027238e-05,0.0,0.0
MNS1,0.0003631741420010895,0.0,0.0
MATK,0.00027238060650081714,0.0,0.0
KHDRBS2,0.0010895224260032686,0.2583364952154672,2.89199413875874e-06
KXD1,0.0009079353550027237,0.0,0.0
MAGEA11,0.0006355547485019066,0.0,0.0
LILRA3,9.079353550027238e-05,0.0,0.0
RASL11B,9.079353550027238e-05,0.0,0.0
MVK,0.00027238060650081714,0.0,0.0
MSC,0.0015434901035046304,0.29319503057200313,6.9477749502377475e-06
MTMR9,0.0003631741420010895,0.0,0.0
MYOZ2,0.00027238060650081714,0.0,0.0
NDUFB1,0.00018158707100054475,0.0,0.0
ZDHHC3,0.00045396767750136187,0.0,0.0
SLC1A1,9.079353550027238e-05,0.0,0.0
TRPV5,9.079353550027238e-05,0.0,0.0
TMSB4Y,9.079353550027238e-05,0.0,0.0
TULP2,0.00027238060650081714,0.0,0.0
VPS72,0.0003631741420010895,0.0,0.0
EYA2,0.00045396767750136187,0.20917381229475748,1.4038441949905355e-07
PSMB6,0.00018158707100054475,0.0,0.0
WDR61,0.00027238060650081714,0.0,0.0
HAND1,0.0022698383875068093,0.3037496625617385,8.267684542310366e-06
CKM,0.00027238060650081714,0.0,0.0
SLC34A1,0.00018158707100054475,0.0,0.0
PFKM,0.00045396767750136187,0.0,0.0
ZXDB,0.00027238060650081714,0.0,0.0
VWA5A,0.00018158707100054475,0.0,0.0
ZNF710,0.00045396767750136187,0.0,0.0
ZNF207,0.0006355547485019066,0.0,0.0
ZNF280A,0.00045396767750136187,0.0,0.0
ZG16,0.00027238060650081714,0.0,0.0
ZFYVE26,0.0005447612130016343,0.0,0.0
TRO,9.079353550027238e-05,0.0,0.0
XYLT1,0.0005447612130016343,0.0,0.0
USP33,0.0006355547485019066,0.0,0.0
BEST2,0.000726348284002179,0.0,0.0
UBA3,0.0005447612130016343,0.0,0.0
TMEM40,0.0005447612130016343,0.0,0.0
TRAPPC3,0.0005447612130016343,0.0,0.0
