Target,Source,p
AR,TRPS1,0.8
AR,UBE3A,0.8
AR,UCP1,0.8
AR,UCP2,0.8
AR,UCP3,0.8
AR,UGT2B4,0.8
AR,ZMIZ1,0.8
AR,IL6,0.8
ARHGAP35,CSK,0.8
ARHGAP35,THY1,0.8
ARHGAP35,SRC,0.8
ARHGAP35,RHOA,0.8
ARNT,LEP,0.8
ARNT,HIF1A,0.8
ARNT,EPAS1,0.8
ARNT2,EPAS1,0.8
ARNT2,HIF1A,0.8
ARNTL,CRY1,0.8
ARNTL,CRY2,0.8
ARNTL,CSNK1D,0.8
ARNTL,CSNK1E,0.8
ARNTL,CRY2,0.8
ARNTL,CRY1,0.8
ARNTL,BHLHE41,0.8
ARNTL,BHLHE40,0.8
ARNTL,PER2,0.8
ARNTL,RORA,0.8
ARNTL,PER3,0.8
ARNTL,PER2,0.8
ARNTL,PER3,0.8
ARNTL,RORC,0.8
ARNTL,RORB,0.8
ATF1,GOLPH3,0.8
ATF1,FLT1,0.8
ATF1,COPA,0.8
ATF1,CYP11B1,0.8
ATF1,CIITA,0.8
ATF1,CHGA,0.8
ATF1,CGA,0.8
ATF1,CFTR,0.8
ATF1,CDK1,0.8
ATF1,FLII,0.8
ATF1,FOS,0.8
ATF1,GH2,0.8
ATF1,HLA-G,0.8
ATF1,HSPA5,0.8
ATF1,ID2,0.8
ATF1,IFNAR1,0.8
ATF1,IL10,0.8
ATF1,IL1B,0.8
ATF1,IL6,0.8
ATF1,INHBA,0.8
ATF1,JUN,0.8
ATF1,LOR,0.8
ATF1,LTC4S,0.8
ATF1,MYH10,0.8
ATF1,NANS,0.8
ATF1,NKX6-1,0.8
ATF1,NOS1,0.8
ATF1,NR3C2,0.8
ATF1,NT5E,0.8
ATF1,NTRK1,0.8
ATF1,NTRK3,0.8
ATF1,NTS,0.8
ATF1,OXT,0.8
ATF1,PCSK1,0.8
ATF1,PGK1,0.8
ATF1,PLAUR,0.8
ATF1,POLB,0.8
ATF1,POLG2,0.8
ATF1,PTGS2,0.8
