cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
ETS1,TFAP4,CREB3L3
MED8,RUNX3,HDAC9
NCOA6,MYBL2,HAND2
GLI3,ELF1,ASCC2
NR0B2,APBB1,SRSF1
REST,E2F1,PARP1
CBX8,NHLH1,GTF2IRD1
ZBTB17,FOXJ2,EHMT2
NFYA,DAZAP2,TARBP2
YY1,TFAP2C,NDN
SRY,SPIB,HOXB3
HTATSF1,CITED2,NOTCH3
PIAS3,RARG,HNRNPUL1
GTF3C2,ETS1,AATF
SNW1,MED8,BRD8
JUP,NCOA6,PNRC2
ATF5,POU4F1,FOSL1
TADA3,GLI3,PRDM2
CLOCK,NR0B2,HCFC1
PBX2,REST,PPARD
STAT2,CBX8,TAF4B
SIRT1,ZBTB17,JUNB
TTF2,NFYA,GSC
BAZ1B,YY1,FOXI1
HOXB1,SRY,TRIP6
STAT5A,HTATSF1,SNAPC5
SOX10,PIAS3,ING5
NKX2-5,GTF3C2,SMARCC2
NR1H2,SNW1,ID2
BPTF,E4F1,SMARCD3
NKX3-1,KLF5,NR5A1
MYOG,JUP,HOXA10
IRF7,ATF5,PHB2
EPAS1,TADA3,THRA
TSC22D4,CLOCK,KAT7
RBPJL,STAT2,POLR2K
MNT,SIRT1,GTF3C4
GTF2B,TTF2,CITED1
RELA,XAB2,MECP2
TP53BP1,BAZ1B,DNMT1
GATA4,HOXB1,ZEB2
CEBPE,STAT5A,MAFK
RREB1,SOX10,HOXB7
RNF2,NKX2-5,MTA1
ALX1,NR1H2,NPAS2
COPS5,KLF10,HTT
LDB1,BPTF,PNN
IKBKG,MCM4,ATF7IP
HNRNPD,NKX3-1,RBBP4
RAD51,MYOG,GTF2E1
CBX4,IRF7,SP4
TCEB1,SRSF6,TAF4
ETS2,MTA2,PPARGC1B
MCM3,EPAS1,PAX2
HES1,RBPJL,TOPORS
KLF12,MNT,CRY1
ID3,GTF2B,RBFOX2
RBL1,RELA,HOXD4
NR0B1,TP53BP1,MAZ
TAF1B,GATA4,XBP1
ESR2,CEBPE,MBD1
MIF,RREB1,POU3F3
BACH1,RNF2,TEAD1
CALCOCO1,ALX1,EGR3
GFI1B,COPS5,HIPK2
GABPA,LDB1,TFAP4
SMARCA5,IKBKG,RUNX3
TP63,HNRNPD,JARID2
CNOT7,RAD51,MYBL2
MED1,CBX4,ELF1
SPI1,ETS2,HOXA3
HNF4A,MCM3,APBB1
MCM5,HES1,NHLH1
CTDP1,KLF12,FOXJ2
TFDP2,ID3,DAZAP2
ID1,RBL1,TGIF2
MEF2D,NR0B1,DMAP1
PURA,TAF1B,SPIB
CEBPB,ESR2,CITED2
E2F2,POLR1B,RARG
PITX2,MIF,MED8
PAX6,ING1,MCM6
RARB,MED6,NCOA6
RNF4,BACH1,POU4F1
BTG2,CALCOCO1,GLI3
TOB1,GFI1B,NR0B2
TRIP13,GABPA,JDP2
HHEX,SMARCA5,PHOX2A
TRIP4,TP63,CBX8
GTF2F1,MED1,ZBTB17
MZF1,SPI1,SRY
EEF1A1,HNF4A,HTATSF1
HOXA5,MCM5,PIAS3
TGIF1,CTDP1,GTF3C2
EGR1,TFDP2,SNW1
HMGA1,COPS2,SOX3
UBTF,ID1,KLF5
SATB1,MEF2D,HOXB2
TAF11,PURA,JUP
SOX9,TFAP2B,ATF5
IRF3,CEBPB,TADA3
CREM,SCAND1,CLOCK
MSX2,E2F2,PBX2
RBL2,PITX2,SIX2
ZNF408,PAX6,TGFB1I1
PDX1,RARB,STAT2
USF2,RNF4,SIRT1
FOXG1,BTG2,TTF2
SKIL,TOB1,NR1H4
PTMA,TRIP13,BAZ1B
SIRT2,APEX1,HOXB1
FMR1,HHEX,NKX2-5
RFX4,TRIP4,NR1H2
RORA,GTF2F1,KLF10
NR3C2,MZF1,BPTF
TAF12,EEF1A1,MCM4
SMAD9,HOXA5,NKX3-1
NFE2L1,TGIF1,TRIB3
GTF2H1,EGR1,KDM2A
TRIM28,UBTF,ZBTB7A
PPARGC1A,SATB1,MYOG
PROX1,TAF11,POLR1E
HEY2,GTF2A1,IRF7
EDF1,SOX9,SRSF6
RBM14,IRF3,MTA2
HDAC3,CREM,EPAS1
IRF2,MSX2,RBPJL
NRIP1,RBL2,MNT
TLE1,ZNF408,GTF2B
FOS,NAB1,TP53BP1
XRCC5,PDX1,GATA4
PIAS4,USF2,CEBPE
TFDP1,FOXG1,RREB1
SMURF2,SKIL,RNF2
TLX2,CREB3,SALL1
TCF7L1,SMAD6,ALX1
PIAS1,PTMA,COPS5
RING1,ELK3,LDB1
TAF7,SIRT2,IKBKG
KLF13,FMR1,HNRNPD
L3MBTL1,RFX4,RNF14
SP1,RORA,RAD51
DBP,HOXB8,CBX4
ARID3A,NR3C2,KLF11
NFYC,TAF12,TCEB1
HDAC4,ING4,ETS2
GTF2F2,SMAD9,TBPL1
RFC1,NFE2L1,MCM3
TAF1C,GTF2H1,HES1
POU1F1,TRIM28,KLF12
BARD1,PPARGC1A,ID3
KHDRBS1,PROX1,RBL1
SIX3,HEY2,ZIC2
FOXD1,EDF1,BHLHE41
E2F5,RBM14,NR0B1
TP73,HDAC3,TAF1B
ERCC6,IRF2,ESR2
FOXD3,NRIP1,PHF12
MXI1,TLE1,MIF
MBD2,FOS,RORB
HSF1,XRCC5,ING1
ATF2,PIAS4,BACH1
POLR2E,TFDP1,CALCOCO1
MEF2A,SMURF2,GFI1B
PIAS2,ORC2,NR2E3
NR2C2,TLX2,SMARCA5
ARNTL,TCF7L1,TP63
TCERG1,PIAS1,UBE2K
